,SRM1950_1,SRM1950_2,SRM1950_3,SRM1950_4,AA_1,AA_2,AA_3,AA_4,T1D_1,T1D_2,T1D_3,T1D_4
DG 32:0,0.031463286,0.026241701,0.025269557,0.019457187,0.001863665,0,0,0,0.022591123,0.042753159,0.059492083,0.05556628
DG 32:1,0.045631219,0.043013635,0.044996735,0.057683216,0.012437984,0.006116906,0.008294718,0.014360246,0.015640166,0.029585579,0.045897309,0.057411487
DG 32:2,0,0,0.039689877,0,0.065692011,0.114627501,0.102911228,0.252001096,0.035222918,0.091222053,0.068059461,0.027080543
DG 34:0,0.012770549,0,0.000120856,0,0,0,0,0,0.00264444,0.008621879,0.015825346,0.007639685
DG 34:1,0.35165479,0.364556914,0.37404473,0.369566031,0.164873159,0.14418836,0.186583697,0.142892909,0.213148813,0.395044906,0.496840034,0.515083384
DG 34:2,0.291653342,0.297161808,0.343987599,0.299974288,0.157584763,0.144500183,0.201816768,0.193458462,0.149935373,0.299642387,0.382758913,0.369952717
DG 36:1,0.055083668,0.042798302,0.047922214,0.043554464,0.011869224,0.006457239,0.008304703,0.010400984,0.025802952,0.051169551,0.067460679,0.059458133
DG 36:2,0.501439079,0.497746028,0.555104451,0.542810616,0.126494306,0.105299813,0.14203473,0.12844564,0.20336062,0.365894975,0.518248793,0.520307832
DG 36:3,0.529581068,0.585408761,0.5993947,0.57995029,0.152336503,0.13144335,0.205752412,0.218430279,0.19302025,0.376435159,0.506393429,0.464913843
DG 36:4,0,0,0,0,0,0,0,0,0,0,0,0
PC 30:0,0.289913154,0.256203001,0.267187675,0.266459851,0.155624135,0,0.123758345,1.092868962,6.504390268,3.62592511,0.316641217,0.308463669
PC 30:1,0.045805614,0.041910399,0.042884598,0.039314974,0.008067572,0,0.005927916,0.048082879,0.75456096,0.336495736,0.036268525,0.02787324
PC 32:0,1.257861635,1.147171202,1.265856064,1.354795439,1.003779544,0,0.946461998,7.824583086,27.59812824,14.87581137,1.277984091,1.321978986
PC 32:1,1.919137466,1.756054379,0,2.092555332,0.641762691,0,0.017699553,4.450127656,35.78240075,0,1.654943427,0
PC 32:2,0.427692812,0.367733616,0.402017186,0.444271412,0.239831894,0,0.206415397,1.549740548,8.704645212,4.694184954,0.409986939,0.421000405
PC 34:1,0,14.38194862,20.97775346,21.86176398,0,0,12.81305468,94.28006417,460.5641314,228.6077258,20.86878609,20.02209596
PC 34:2,40.89503879,36.44053099,41.33526633,44.66159989,30.17128908,0,30.08699623,226.5186696,848.7894313,450.2201523,40.44978036,41.79322126
PC 34:3,0,0.027216122,0,1.488933602,0.678584503,0,0.633704815,5.080176839,22.83983027,12.08035689,0,1.117849878
PC 34:4,0.075200519,0.064366378,0.083159016,0.063311402,0.038871026,0,0.05140698,0.407469076,2.093357403,1.229621121,0.0800657,0.093651874
PC 36:1,2.837584363,2.84832836,3.122848538,0,0,0,0,0,0.630201547,0.296201061,0,0.063419525
PC 36:2,19.62264151,18.70771499,21.51070095,21.32796781,14.25925823,0,14.42874678,105.1191207,397.7937105,215.6493461,20.96261674,18.66323274
PC 36:3,13.87241689,12.17766353,13.98638169,12.8101945,8.047085265,0,8.40094796,60.52003748,260.7547289,129.7889583,12.504017,12.44215516
PC 36:4,17.61006289,15.79566501,18.41245185,19.31589537,14.25925823,0,14.61859871,110.2219907,424.4401791,217.6460993,20.13514503,20.31570647
PC 36:5,1.11410602,1.05010287,1.15077824,1.268252415,0.613028351,0,0.626057698,4.574514448,43.58600942,22.76298653,2.031902763,2.070452382
PC 36:6,0.022816417,0.023325003,0.025826911,0.022936167,0.009949588,0,0.011681465,0.069219799,0.750883635,0.442333913,0.04054191,0.042789688
PC 38:1,0.026692373,0.028440777,0.030134789,0.03415575,0.022246494,0,0,0,0.557867598,0.270197539,0,0.02587006
PC 38:3,3.371069182,3.476811182,4.036575982,3.983903421,2.531294678,0,2.392134334,16.02301161,79.93940593,38.43749919,3.999446615,3.45075397
PC 38:4,10.42228212,10.76576051,11.5077824,11.80415828,9.948319695,0,9.967226393,73.58338452,251.2381329,125.7954519,12.6878996,12.05333781
PC 38:5,4.751123091,4.359250568,4.992607135,4.922870557,3.150301237,0,2.952197532,25.2081775,103.350232,49.12012883,5.019995061,4.850496426
PC 38:6,4.413297395,4.032747995,4.594260821,4.694835681,3.117140171,0,3.39834957,25.1061201,126.9513899,63.59658956,5.875049165,5.958625869
PC 38:7,0.073959854,0.061861254,0.074993297,0.070984469,0.034443665,0,0.035862159,0.242971526,1.908683814,1.036264121,0.087432658,0.089127495
PC 40:1,0.005288131,0.005227671,0.004740106,0,0,0,0.002645162,0,0,0,0,0
